date,side,atm_bucket,lag_seconds,correlation,sample_count
2026-04-29,PUT,ATM,-4,0.050408786870058425,22000
2026-04-29,PUT,ATM,-3,0.055697548806412145,22001
2026-04-29,PUT,ATM,-2,0.06554237959881565,22002
2026-04-29,PUT,ATM,-1,0.10249471041515676,22003
2026-04-29,PUT,ATM,0,0.0984524689087908,22004
2026-04-29,PUT,ATM,1,0.03364120457562855,22003
2026-04-29,PUT,ATM,2,0.014550185236556996,22002
2026-04-29,PUT,ATM,3,0.0144144937514506,22001
2026-04-29,PUT,ATM,4,0.0064041520694124165,22000
2026-04-29,PUT,ATM,5,-0.0065455521841535315,21999
2026-04-29,PUT,ATM,6,-0.0011906944784748933,21998
2026-04-29,PUT,ATM,7,9.764873312798612e-05,21997
2026-04-29,PUT,ATM,8,-0.004805451839218926,21996
2026-04-29,PUT,ATM,9,-0.010741012915189547,21995
2026-04-29,PUT,ATM,10,-0.027470484544350228,21994
2026-04-29,PUT,ATM_100,-10,0.02080191476628709,21994
2026-04-29,PUT,ATM_100,-9,0.020041996816865543,21995
2026-04-29,PUT,ATM_100,-8,0.03139054857690459,21996
2026-04-29,PUT,ATM_100,-7,0.053506345293263126,21997
2026-04-29,PUT,ATM_100,-6,0.03968359283736412,21998
2026-04-29,PUT,ATM_100,-5,0.06457845695467769,21999
2026-04-29,PUT,ATM_100,-4,0.049321332461870517,22000
2026-04-29,PUT,ATM_100,-3,0.05875944424124982,22001
2026-04-29,PUT,ATM_100,-2,0.0794120625959423,22002
2026-04-29,PUT,ATM_100,-1,0.11502743824252355,22003
2026-04-29,PUT,ATM_100,0,0.11397550203760982,22004
2026-04-29,PUT,ATM_100,1,0.03865077873319261,22003
2026-04-29,PUT,ATM_100,2,0.03877313820970361,22002
